nombre;tipo_inventario;area;unidad_sugerida;stock_inicial;stock_minimo;costo_unitario;fuente;menu_refs;conteo_referencias;menu_source_key;accion_sugerida;notas
aguardiente;insumo;bar;ml;;;;menu_descripcion;Mains Zafiro | Aguardiente Negro / Verde Media | Aguardiente Azul Media | Aguardiente Amarillo Media | Aguardiente Amarillo Botella;5;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
amaretto;insumo;bar;ml;;;;menu_descripcion;Coctel Orgasmo | El Padrino;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
cerveza nacional;insumo;bar;unidad;;;;menu_descripcion;Michelada Frutal | Michelada Clásica;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
coca-cola;insumo;bar;unidad;;;;menu_descripcion;Cuba Libre | Coca-Cola;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
coco;insumo;bar;ml;;;;menu_descripcion;Piña Colada | Limonada de Coco;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
crema de whisky;insumo;bar;ml;;;;menu_descripcion;Coctel Orgasmo;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
curacao azul;insumo;bar;ml;;;;menu_descripcion;Hawaiian Blue;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
escarchado;insumo;bar;porcion;;;;menu_descripcion;Michelada Premium Frutal | Michelada Frutal | Michelada Premium Clásica | Michelada Clásica | Michelada Sin Alcohol Frutal | Michelada Sin Alcohol Clásica | Michelada Ginger Ale Frutal | Michelada Ginger Ale | Margaritas | Micheldas (Frutos Rojos Verdes Amarillos);10;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
espumoso;insumo;bar;ml;;;;menu_descripcion;Cherry Champagne;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
ginebra;insumo;bar;ml;;;;menu_descripcion;Gin-Tonic | Dry Martini | Tom Collis | Bulls Cantina;4;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
granadina;insumo;bar;ml;;;;menu_descripcion;Coctel Tequila Sunrise | Rumba Zafari;2;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
hielo;insumo;bar;kg;;;;menu_descripcion;Michelada Premium Frutal | Michelada Frutal | Michelada Premium Clásica | Michelada Clásica | Michelada Sin Alcohol Frutal | Michelada Sin Alcohol Clásica | Michelada Ginger Ale Frutal | Michelada Ginger Ale;8;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
hierbabuena;insumo;bar;manojo;;;;menu_descripcion;Mojito | Mojito Fresd | Limonada de Hierbabuena;3;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
licor de cafe;insumo;bar;ml;;;;menu_descripcion;Coctel Orgasmo;1;;validar_si_aplica;"Insumo sugerido desde nombres/descripciones del menu; revisar duplicados, unidad y area."
